,2022-03-31,2021-03-31,2020-03-31,2019-03-31
Intangible Assets,707800000.0,785100000.0,858700000.0,953000000.0
Total Liab,297371600000.0,292682100000.0,310969100000.0,330367000000.0
Total Stockholder Equity,265066000000.0,259836600000.0,286607200000.0,309043400000.0
Other Current Liab,88267500000.0,71843200000.0,68967800000.0,65397000000.0
Total Assets,562437600000.0,552402100000.0,597485600000.0,639343100000.0
Common Stock,6964100000.0,6964100000.0,6964100000.0,6964100000.0
Other Current Assets,111233300000.0,12226900000.0,10337700000.0,6103100000.0
Other Liab,83308900000.0,88549000000.0,84130600000.0,98860700000.0
Gains Losses Not Affecting Retained Earnings,258101900000.0,-3219300000.0,-3419800000.0,-681100000.0
Other Assets,253471900000.0,237880700000.0,237442000000.0,221951400000.0
Cash,71536900000.0,15271900000.0,14028600000.0,7957400000.0
Total Current Liabilities,213711500000.0,203599000000.0,226084800000.0,230551800000.0
Deferred Long Term Asset Charges,35300800000.0,36712400000.0,27658700000.0,35054500000.0
Other Stockholder Equity,258101900000.0,-3219300000.0,-3419800000.0,-681100000.0
Property Plant Equipment,27586600000.0,28321900000.0,30452500000.0,31106000000.0
Total Current Assets,278619800000.0,283433500000.0,327111800000.0,383809100000.0
Long Term Investments,2051500000.0,1980900000.0,1620600000.0,1523600000.0
Net Tangible Assets,264358200000.0,259051500000.0,285748500000.0,308090400000.0
Net Receivables,30247500000.0,132390100000.0,163662900000.0,224747600000.0
Inventory,65602100000.0,71944500000.0,89082300000.0,78000400000.0
Accounts Payable,77495900000.0,66835100000.0,88291600000.0,113809800000.0
Minority Interest,,-116600000.0,-90700000.0,-67300000.0
Retained Earnings,,256091800000.0,283062900000.0,302760400000.0
Short Term Investments,,51600100000.0,50000300000.0,67000600000.0
