,2022-03-31,2021-03-31,2020-03-31,2019-03-31
Intangible Assets,11010000000.0,4800000000.0,2830000000.0,1790000000.0
Total Liab,516680000000.0,436510000000.0,361500000000.0,250440000000.0
Total Stockholder Equity,891390000000.0,864330000000.0,841260000000.0,894460000000.0
Minority Interest,7070000000.0,6750000000.0,6230000000.0,4530000000.0
Deferred Long Term Liab,1500000000.0,2280000000.0,2860000000.0,1740000000.0
Other Current Liab,290460000000.0,132970000000.0,95200000000.0,76290000000.0
Total Assets,1415140000000.0,1307590000000.0,1208990000000.0,1149430000000.0
Common Stock,3660000000.0,3700000000.0,3750000000.0,3750000000.0
Other Current Assets,115410000000.0,22240000000.0,19710000000.0,20870000000.0
Retained Earnings,856070000000.0,825580000000.0,808060000000.0,868890000000.0
Other Liab,29490000000.0,29930000000.0,21840000000.0,29160000000.0
Good Will,17870000000.0,17980000000.0,17100000000.0,17000000000.0
Gains Losses Not Affecting Retained Earnings,887730000000.0,35050000000.0,29450000000.0,21820000000.0
Other Assets,104780000000.0,87750000000.0,84380000000.0,95010000000.0
Cash,182210000000.0,68580000000.0,86460000000.0,72240000000.0
Total Current Liabilities,423510000000.0,341550000000.0,270600000000.0,220840000000.0
Deferred Long Term Asset Charges,37080000000.0,39310000000.0,28280000000.0,26560000000.0
Other Stockholder Equity,887730000000.0,35050000000.0,29450000000.0,21820000000.0
Property Plant Equipment,196150000000.0,196690000000.0,198410000000.0,113740000000.0
Total Current Assets,1083100000000.0,992800000000.0,902370000000.0,921310000000.0
Long Term Investments,2230000000.0,7570000000.0,3900000000.0,580000000.0
Net Tangible Assets,862510000000.0,841550000000.0,821330000000.0,875670000000.0
Short Term Investments,302620000000.0,265180000000.0,252530000000.0,59390000000.0
Net Receivables,482660000000.0,540890000000.0,511570000000.0,476270000000.0
Inventory,200000000.0,80000000.0,50000000.0,100000000.0
Accounts Payable,80450000000.0,22370000000.0,67400000000.0,62920000000.0
